# Forces along z-axis are in the unit of Ry/au.
# c/a   Zn1          Zn2          O1           O2
1.56  -0.00000592 -0.00000052  0.00000336  0.00000309
1.57  -0.00000055 -0.00000444  0.00000138  0.00000361
1.58  -0.00000432 -0.00000366 -0.00000124  0.00000923
1.59  -0.00000114 -0.00000221  0.00000117  0.00000218
1.60   0.00000504 -0.00000489 -0.00000171  0.00000155
1.61  -0.00000874  0.00000347 -0.00000024  0.00000551
1.62   0.00000224  0.00000542 -0.00000865  0.00000099
1.63   0.00000653  0.00000460 -0.00000768 -0.00000344
1.64  -0.00000643  0.00000451  0.00000065  0.00000127
1.65   0.00000617  0.00000798 -0.00000689 -0.00000726
1.66  -0.00000309  0.00000051  0.00000147  0.00000112

